index,rank,book,german,english,gender,german_sentence,english_sentence
6336,6311,3,lebenslang,lifelong / for life,adj,Er hat dich lebenslang ins Gefängnis gebracht.,He put you in prison for life.
6337,6312,3,rings,around,adv,Der Park rings ums Haus ist terrassenförmig angelegt und mit Pinien und,The park around the house is terraced with pine and cypress trees.
6338,6313,3,rücksichtsvoll,considerate / considerately,adj,Er war mal so süß und rücksichtsvoll.,He used to be so sweet and considerate.
6339,6314,3,langen,to reach / be enough (coll),vb,Ich musste unter deine Jeans langen.,I had to reach under your jeans.
6340,6315,3,das Küken,the baby bird,N,"Ich würde sagen, sie ist unser Küken.","Well, I would say that she's our baby bird."
6341,6316,3,tags,in the daytime,adv,Ich arbeite tags und sie nachts.,"I work in the daytime, she at night."
6342,6317,3,belehren,to teach,vb,"Und ich habe versucht, ihn zu belehren.",And I tried to teach him.
6343,6318,3,die Statistik,the statistics,F,Selbstverständlich können Sie die Statistik auch unsichtbar einbinden.,"Of course, you also can implement the statistic in invisible mode."
6344,6319,3,fluten,to flood,vb,Sie können die Erde nicht fluten.,You can't flood the earth.
6345,6320,3,das Buffet,the buffet,N,Das Hotelrestaurant serviert internationale Gerichte vom Buffet.,The hotel's restaurant is now open offering international cuisine in buffet
6346,6321,3,ängstigen,to frighten,vb,Ich wollte die Kinder nicht ängstigen.,I didn't want to frighten the kids.
6347,6322,3,verladen,to ship / loaded,vb,Die Fässer werden auf Trucks verladen.,The barrels are being loaded onto trucks.
6348,6323,3,der Vorabend,the evening before,M,Es ist der Vorabend des Kampfes.,It's the evening before the battle.
6349,6324,3,strahlend,radiant / brilliantly,adj,Ich habe dich noch nie so strahlend erlebt.,I've never seen you look so radiant.
6350,6325,3,spaßig,funny,adj,Das ist nicht sehr spaßig im Moment.,This is not very funny at the moment.
6351,6326,3,überführen,to transport,vb,"Darum wurden Sie auserwählt, sie zu überführen.",That is why you have been chosen to transport them.
6352,6327,3,das Enkelkind,the grandchild,N,Ihr zieht fast 3.000 Meilen von eurem Enkelkind weg.,"You're moving 3,000 miles away from your grandchild."
6353,6328,3,durchlaufen,to go through,vb,Hierbei müssen die entsprechenden Verfahrensstufen durchlaufen werden.,That will have to go through the appropriate procedures.
6354,6329,3,komponieren,to compose,vb,Ich möchte eine Oper komponieren.,I want to compose an opera.
6355,6330,3,abschleppen,to tow / towing,vb,Du kannst hier keine Autos abschleppen!,You can't tow away cars here.
6356,6331,3,die Effizienz,the efficiency,F,"Außerdem wäre es interessant, die Effizienz dieser Ausnahme zu","Moreover, it would be interesting to monitor the effectiveness of this"
6357,6332,3,schwedisch,Swedish,adj,"Wenn Ihr Wagen schwedisch ist, wählen Sie Eins.","If your car is Swedish, press 1."
6358,6333,3,abschreiben,to copy / write off,vb,Ich habe meinen Freund meine Hausaufgaben abschreiben lassen.,I let my friend copy my homework.
6359,6334,3,verschollen,missing,adj,Mein Fahrer in Albanien ist verschollen.,My driver in Albania went missing.
6360,6335,3,parat,ready / handy,adj,Du solltest ein paar Geschichten parat haben.,You should have some stories ready.
6361,6336,3,frustrierend,frustrating,adj,"In September war es frustrierend, aber jetzt ist es nur noch lächerlich.","In September, it was frustrating, but now it's just ridiculous."
6362,6337,3,die Beruhigung,the reassurance / calming,F,Ich könnte etwas Liebe und Beruhigung gebrauchen.,I could do with a little love and a little reassurance right now.
6363,6338,3,der Mietwagen,the rental car,M,Dein Mietwagen hat nicht einen Kratzer.,Your rental car doesn't even have a scratch on it.
6364,6339,3,die Courage,the courage,F,Ihr Mangel an Courage widert mich an.,Your lack of courage disgusts me.
6365,6340,3,äußerlich,externally / external,adv,"Ich lache, nur nicht äußerlich.","I am laughing, just not externally."
6366,6341,3,der Demokrat,the democrat,M,"Ein Demokrat ist ein freier Bürger, der sich dem Willen der Mehrheit beugt.",A democrat is a free citizen who yields to the will of the majority.
6367,6342,3,die Erforschung,the exploration,F,Sie beschäftigen sich mit der Erforschung des Weltraums.,You're involved in space exploration.
6368,6343,3,die Dichtung,the seal / poetry,F,Danach kehrt die Dichtung in den Ausgangszustand zurück.,"Afterward, the seal returns into the initial state."
6369,6344,3,problemlos,smoothly / problem-free,adv,Das Flugzeug landete problemlos.,The plane landed smoothly.
6370,6345,3,die Nahaufnahme,the close-up,F,Ich will eine Nahaufnahme von ihrem Gesicht.,I want a close-up of her expression.
6371,6346,3,abspielen,to play (back),vb,Möglicherweise können Sie keine geschützten Inhalte abspielen.,You may not be able to play protected content.
6372,6347,3,totlachen,to die laughing,vb,"Du würdest dich totlachen über das, was er schrieb.",You'd die laughing if you read what he has written.
6373,6348,3,die Milz,the spleen,F,Die Wunde liegt gefährlich nahe an seiner Milz.,The wound is dangerously close to his spleen.
6374,6349,3,das Sperrgebiet,the restricted zone,N,"Meine Damen, das ist ein Sperrgebiet.","Ladies, this is a restricted zone."
6375,6350,3,unterstellen,to assume / take cover,vb,Ich will ja nichts unterstellen.,"I mean, I don't mean to assume."
6376,6351,3,der Wachposten,the guard,M,Am Eingangstor war kein Wachposten.,There wasn't a guard on the gate.
6377,6352,3,verkabeln,to wire,vb,Ich kann alles direkt in alles verkabeln.,I can wire anything directly into anything.
6378,6353,3,zusammensetzen,to assemble / consist,vb,Den Kugelschreiber nach der Gebrauchsanleitung zusammensetzen.,Assemble the pen following the instructions for use.
6379,6354,3,einigermaßen,somewhat,adv,So lange sie einigermaßen glaubwürdig sind.,As long as you make it somewhat credible.
6380,6355,3,Sims,ledge,M/N,"M/N Ich muss Sie bitten, vom Sims zu springen.",I must ask you to step off that ledge.
6381,6356,3,vertrauenswürdig,trustworthy,adj,"Aber ich muss wissen, ob Sie vertrauenswürdig sind.",But I need to know that you're trustworthy.
6382,6357,3,die Urne,the urn,F,Aber jetzt können wir diese Urne loswerden zu deinem Wohl.,"But right now, we can get rid of that urn for your own good."
6383,6358,3,verschwitzt,sweaty,adj,"Ich glaube, meine Hand wird etwas verschwitzt.",I think my hand is getting a little sweaty.
6384,6359,3,die Peilung,the bearing,F,"Durch das Signal bekommen Sie eine Peilung, richtig?","You can get a bearing from the radio signal, yes?"
6385,6360,3,verwundbar,vulnerable / vulnerably,adj,Es ist keine Schande verwundbar zu sein.,There's no shame in being vulnerable.
6386,6361,3,panisch,panicked / in panic,adj,Wieso fühlst du dich so panisch?,Why should you be feeling panicked?
6387,6362,3,der Teddybär,the teddy,M,Sie haben gerade einen Teddybären für Ihre Freundin gewonnen.,You just won your girlfriend a teddy bear.
6388,6363,3,der Sirup,the syrup,M,Ich mag Sirup auf meinen Eiern.,I like syrup on my eggs.
6389,6364,3,das Opium,the opium,N,Sie können das Opium fast riechen.,You can almost smell the opium.
6390,6365,3,etliche,several,adj,"Sie haben etliche Anrufe, nichts Dringendes.","You have several phone calls, but nothing urgent."
6391,6366,3,der Talisman,the talisman,M,Wir brauchen eine Verbindung mit dem Talisman.,"Well, I'll need something connected to the talisman."
6392,6367,3,der Investor,the investor,M,"Gut, dann gebe ich den Gewinn einem anderen Investor.",I'll just give the profits to another investor.
6393,6368,3,radikal,radical / radically,adj,"Jeder weiß, dass diese Änderungen radikal sein müssen.",Everyone knows that these changes ought to be radical.
6394,6369,3,der Seelenklempner,the shrink (coll),M,Seelenklempner geben immer den Müttern die Schuld.,Shrinks always blame the mother.
6395,6370,3,der Vietnamese,the Vietnamese,M,Sie sind aber kein Vietnamese.,But you're not Vietnamese.
6396,6371,3,die Anforderung,the request,F,Die Verbindung verarbeitet derzeit keine Anforderung.,The connection is not currently processing a request.
6397,6372,3,sortieren,to sort (out),vb,Die Suchergebnisliste lässt sich filtern und sortieren.,You can filter and sort the search results list.
6398,6373,3,das Pot,the pot (coll),N,"Ich wusste nicht, dass du Pot rauchst.",I didn't know you smoked pot.
6399,6374,3,das Ablenkungsmanöver,the distraction,N,Das hier ist nur ein Ablenkungsmanöver.,This is more of a distraction.
6400,6375,3,führend,leading,adj,Europa scheint bei dieser Technologie führend zu sein.,Europe seems to be leading the way with this technology.
6401,6376,3,das Lehrbuch,the textbook,N,Sein Hauptwerk diente über Jahre als medizinisches Standardwerk und,For over 500 years his magnum opus served as a standard work and
6402,6377,3,unerfahren,inexperienced,adj,"Jung und unerfahren, aber das Talent ist da.","Young and inexperienced, but the talent is there."
6403,6378,3,das Erstaunen,the astonishment / astonish,N,"Ich weiß, ich sollte Erstaunen fühlen.",I know I'm supposed to feel astonishment.
6404,6379,3,die Lawine,the avalanche,F,"Und ich sage Ihnen, die Lawine ist bereits im Rollen.","And I'm telling you, the avalanche has already started."
6405,6380,3,bunt,colorful / miscellaneously,adj,Dieser Vogel ist sehr bunt.,This bird is very colorful.
6406,6381,3,umfassen,to encompass / include,vb,Eine Million Jahre umfasst tausend Jahrtausende.,A million years encompasses a thousand millennia.
6407,6382,3,vererben,to inherit,vb,Dein Vater wollte dir seine Krone vererben.,Your father meant for you to inherit his crown.
6408,6383,3,die Buße,the penance,F,Ich bin bereit für meine Buße.,I'm prepared for my penance.
6409,6384,3,auspeitschen,to whip,vb,Und selbst ich kann mich nicht überzeugend selbst auspeitschen.,And even I cannot convincingly whip myself.
6410,6385,3,begnadigen,to pardon,vb,Du musst nur seinen Sohn begnadigen.,All you have to do is pardon his son.
6411,6386,3,beehren,to honor (fml),vb,Bitte beehren Sie mich Morgen zu Hause mit Ihrem Besuch.,You will honor me with your presence tomorrow at my home.
6412,6387,3,der Sketch,the sketch,M,Sie proben gerade deinen Paris Hilton Sketch.,They're rehearsing your Paris Hilton sketch.
6413,6388,3,der Unternehmer,the businessman,M,Welcher vernünftige Unternehmer würde beide Fabriken behalten?,What businessman in his right mind would keep two factories?
6414,6389,3,ungestraft,unpunished,adj,Keine Sünde bleibt in diesem Leben ungestraft.,No sin goes unpunished in this life.
6415,6390,3,der Türsteher,the bouncer / doorman,M,Der Türsteher lässt mich nicht rein.,The doorman won't even let me in.
6416,6391,3,die Ekstase,the frenzy,F,"Sie haben Angst, eine Ekstase auszulösen.",You're afraid you'll cause a frenzy.
6417,6392,3,auskennen,to be well informed,vb,"Ich habe Freunde, die sich da auskennen.",I have friends who are well informed.
6418,6393,3,überschwemmen,to flood,vb,Sie werden hier alles mit Soldaten überschwemmen.,They're going to flood this area with troops now.
6419,6394,3,bügeln,to iron,vb,"Ich habe Jane gebeten, dir ein Hemd zu bügeln.",I asked Jane to iron a shirt for you.
6420,6395,3,der Zahnstocher,the toothpick,M,Leute mit gutem Benehmen benutzen keine Zahnstocher.,Nobody with any manners uses toothpicks.
6421,6396,3,schlüpfen,to slip / hatch,vb,"Wenn er herauskommt, schlüpfen wir hinein.","When he comes out, we slip inside."
6422,6397,3,der Gefährte,the companion,M,Ein williger Gefährte ist besser als ein unwilliger Gefangener.,An agreeable companion is better than an unwilling prisoner.
6423,6398,3,der Kreuzzug,the crusade,M,"Ich dachte, dass dieser Kreuzzug nur mit meinem Tod enden kann.",I thought that this crusade would only end with my death.
6424,6399,3,die Revanche,the revenge (fml),F,"Was wir jetzt brauchen, ist eine Revanche.","I know what we need, revenge."
6425,6400,3,der Vorrang,the priority,M,Erstens: Marktinvestitionen sollten Vorrang haben.,"First, the market should have the priority to invest."
6426,6401,3,bewilligen,to grant / approve,vb,Die Kammer kann eine Verlängerung bewilligen.,The Board may grant an extension.
6427,6402,3,zulegen,to gain / get,vb,Ich muss mir wirklich ein Auto zulegen.,I really got to get a car.
6428,6403,3,salutieren,to salute,vb,"Das nächste Mal, wenn wir uns sehen, muss ich vielleicht vor Ihnen","Next time we meet, I'll probably have to salute you."
6429,6404,3,versohlen,to spank,vb,"Du kannst mich versohlen, weglaufen oder mir helfen.","So you can either spank me, walk out or help me."
6430,6405,3,festnageln,to pin (down),vb,"Du warst immer zu abenteuerlustig, um dich festnageln zu lassen.",You've always had too adventurous a spirit to be pinned down.
6431,6406,3,der Rekord,the record,M,Er hat den Rekord gebrochen.,He has broken the record.
6432,6407,3,kräftigen,to strengthen,vb,Ich solle meinen Arm kräftigen.,I should strengthen my arm
6433,6408,3,tarnen,to disguise,vb,Dennoch sind manche dieser Wölfe als Schafe getarnt.,"However, some of these wolves are disguised as sheep."
6434,6409,3,atemberaubend,breathtaking / stunningly,adj,Mein Gemahl und ich fanden es atemberaubend.,My husband and I found it breathtaking.
6435,6410,3,der Funke,the spark,M,Ein Funke genügt und es zerreißt dich.,One spark and it blows up.
6436,6411,3,der Mixer,the blender,M,Hoffentlich gefällt dir dein neuer Mixer.,I hope you really enjoy your new blender.
6437,6412,3,anfordern,to request / ask for,vb,Sie können das Teil telefonisch oder online anfordern.,"And, you can request this part on the phone or online."
6438,6413,3,der Waffenhändler,the weapons dealer,M,"Ich bin Waffenhändler, kein Soldat.","I'm a weapons dealer, not a soldier."
6439,6414,3,das Verweilen,the stay / dwell,N,Wir wollen nicht in der Vergangenheit verweilen.,Let's not dwell on the past.
6440,6415,3,das Flugticket,the plane ticket,N,Ich habe dir ein Flugticket gebucht.,I booked a plane ticket for you.
6441,6416,3,walten,to prevail (fml),vb,Hierbei sollte Vernunft doch walten.,Common sense should prevail.
6442,6417,3,die Beurteilung,the assessment,F,Diese Beurteilung wird man jedoch in den Evaluierungsberichten finden.,"This assessment will, however, be found in the evaluation reports."
6443,6418,3,überfüllen,to overcrowd,vb,Es würde öffentliche Schulen überfüllen.,It would overcrowd public schools.
6444,6419,3,der Schriftsteller,the writer,M,Der Schriftsteller lebt in einer Holzhütte.,The writer is living in a log cabin.
6445,6420,3,minderjährig,underage,adj,"Sei höflich, das Mädchen ist minderjährig.","Be polite, the girl is underage."
6446,6421,3,funkeln,to sparkle,vb,"Ich will, dass das Haus funkelt.",I want this place to sparkle.
6447,6422,3,startbereit,ready to go,adj,"Das heißt, wir sind startbereit.",I guess we're ready to go.
6448,6423,3,vorherig,previous,adj,Wiederholen Sie den vorherigen Schritt in der Medienbibliothek.,"Then, in the library, repeat the previous step."
6449,6424,3,der Schultag,the school day,M,"Versuch ihr zu erklären, warum du an einem Schultag dennoch daheim bist.",Try to explain to her why you are still at home on a school day.
6450,6425,3,zugunsten,in favor of,prp,Außerdem sind Korrekturen zugunsten einiger Mitgliedstaaten,"Moreover, adjustments have been made in favor of certain Member States."
6451,6426,3,nunmehr,henceforth (fml) / now (fml),adv,In der vorbezeichneten Angelegenheit bitten wir Sie nunmehr um Ihre,We now request your opinion in the above-referenced matter.
6452,6427,3,die Gästeliste,the guest list,F,Aber die Gästeliste ist leider sehr exklusiv.,But I'm afraid the guest list is very restricted.
6453,6428,3,gell,shrill / right (coll),adj,"Ja, das ist schön, gell?","Yes, that's nice, right?"
6454,6429,3,zugucken,to watch (coll),vb,Wir hätten sie zugucken lassen sollen.,We should have let her watch.
6455,6430,3,der Vergnügungspark,the theme park,M,Das muss ein verlassener Vergnügungspark sein.,This must be an abandoned theme park
6456,6431,3,durchdringen,to penetrate,vb,Wir können ihre Kraftfelder nicht durchdringen.,We are unable to penetrate their force fields.
6457,6432,3,durchbohren,to pierce,vb,Der Schnabel eines Falken kann den Schädel eines Menschen durchbohren.,A falcon's beak can pierce a man's skull.
6458,6433,3,verdammen,to condemn / damn,vb,Du wirst dich selbst in die Hölle verdammen.,You'll condemn yourself to hell.
6459,6434,3,hingeben,to indulge in / hand over,vb,Warum sollte unser Volk sich solchem Verhalten hingeben?,Why would any of my people want to indulge in that kind of behavior?
6460,6435,3,der Refrain,the chorus,M,Und dann kommt wieder der Refrain.,And then it goes back to the chorus.
6461,6436,3,der Flammenwerfer,the flame thrower,M,"Ich war nicht mal qualifiziert, den Flammenwerfer zu bedienen.",I wasn't even qualified to use the flame thrower.
6462,6437,3,sündig,sinful / sinfully,adj,"Ich bin unwürdig und sündig, Vater.","I am unworthy and sinful, Father."
6463,6438,3,die Windschutzscheibe,the windshield,F,Sicherheitsvorrichtung für die Windschutzscheibe eines Kraftfahrzeuges.,A safety device for the windshield of a motor vehicle.
6464,6439,3,allerletzter,very last,adj,Abgesehen davon könnte es meine allerletzte Schicht sein.,"Besides, this might be my very last shift. Yes."
6465,6440,3,der Mond,the moon,M,Die Erde hat einen natürlichen Satelliten: den Mond.,"The Earth has one naturally occurring satellite, the Moon."
6466,6441,3,feindselig,hostile,adj,Warum muss alles so feindselig sein?,Why does everything have to be so hostile?
6467,6442,3,das Christentum,the Christianity,N,Das Christentum ist für uns Reichtum und Rückhalt.,Christianity is our wealth and redemption.
6468,6443,3,der Schützengraben,the trench,M,"Stimmt, ich war nie im Schützengraben.",Right. I was never in the trenches.
6469,6444,3,die Fluggesellschaft,the airline,F,Ich habe gerade mit der Fluggesellschaft telefoniert.,I just got off the phone with the airline.
6470,6445,3,der Apotheker,the pharmacist,M,"Bitten Sie Ihren Apotheker, Ihr Pflegepersonal oder Ihren Arzt um Hilfe.","Contact your pharmacist, nurse or physician for assistance."
6471,6446,3,entnehmen,to remove,vb,Nicht alle Kapseln auf einmal entnehmen.,Do not remove all capsules at one time.
6472,6447,3,verbocken,to mess up (coll),vb,"Haben sie Angst, dass wir den Deal verbocken?",Are they worried we'll mess up the deal?
6473,6448,3,der Richter,the judge,M,Der Richter hat nach Ihnen gefragt.,The judge has been asking to see you.
6474,6449,3,die Videokamera,the video camera,F,Die digitale Videokamera arbeitet im Vorlaufmodus.,The digital video camera is in fast-forward mode.
6475,6450,3,der Most,the cider,M,Wollt ihr einen Most trinken?,Do you want some cider?
6476,6451,3,das Fiasko,the fiasco,N,Das ganze Fiasko ist mit ihren Fingerabdrücken bedeckt.,This whole fiasco has got her fingerprints all over it.
6477,6452,3,verabreichen,to administer,vb,Nicht als intravenöse Injektion verabreichen.,Do not administer as an intravenous push.
6478,6453,3,dämmern,to dawn,vb,"Bald dämmert es, dann geht es einfacher.","Dawn will soon be here, and it will be easier."
6479,6454,3,schwungvoll,bold / peppy,adj,"Schwungvoll, raffiniert und erschwinglich.","Bold, refined and budget-friendly."
6480,6455,3,verschulden,to get into debt / fault,vb,"Mein Sohn, verloren durch mein Verschulden.",My son is lost through my fault.
6481,6456,3,der Eroberer,the conqueror,M,"Seht mich nicht als Eroberer, sondern als Partner.","Think of me not as a conqueror, but as a partner."
6482,6457,3,formulieren,to formulate,vb,Doch wir müssen natürlich einige Bedingungen formulieren.,"But we must formulate some conditions, of course."
6483,6458,3,knistern,to crackle,vb,"Die Luft knistert zwischen uns, Jane.","I can feel that air crackling between us, Jane."
6484,6459,3,wohlhabend,wealthy,adj,Zum Glück ist meine Frau äußerst wohlhabend.,"Fortunately, my wife is extremely wealthy."
6485,6460,3,die Fußspur,the footprint,F,Auf dem Boden waren schlammige Fußspuren.,There were some muddy footprints on the floor.
6486,6461,3,der Patriotismus,the patriotism,M,"Politik hat mit Patriotismus zu tun, nicht mit Religion.","Politics is about patriotism, not religion."
6487,6462,3,anprobieren,to try on,vb,Welche Schuhe möchten Sie gerne anprobieren?,Which shoes would you like to try on?
6488,6463,3,der Kranz,the wreath,M,Ich sehe an Weihnachten einen Kranz an der Haustür.,I see a wreath on the front door at Christmas.
6489,6464,3,herbitten,to ask to come,vb,Er hat mich herbitten lassen.,He asked me to come here
6490,6465,3,der Einzug,the collection / entry,M,Du hast einen Einzug ohne Ärger versprochen.,You promised entry without incident.
6491,6466,3,der Popo,the butt (coll),M,Er hat meinen Popo gerettet!,He saved my butt.
6492,6467,3,das Gewässer,the waters,N,"Das sind unbekannte Gewässer, Jane.","We're in uncharted waters here, Jane."
6493,6468,3,herrichten,to arrange,vb,Sie wird ein Zimmer für dich herrichten.,She will arrange a room for you.
6494,6469,3,die Vorsehung,the providence,F,Dann war es ein Akt der Vorsehung.,"Well, then it was an act of providence."
6495,6470,3,untröstlich,heartbroken,adj,"Wir waren alle untröstlich, als wir hörten, was John zugestoßen ist.",We were all heartbroken when we heard about John.
6496,6471,3,das Volt,the volt,N,Auf dem Schild steht: Gefahr! Volt.,"The notice says, Danger! 10,000 VOLTS."
6497,6472,3,auszahlen,to pay off,vb,"Ich denke, das wird sich am Ende auszahlen.",I think it will all pay off in the end.
6498,6473,3,der Hinterausgang,the back exit,M,Es gibt einen Hinterausgang durch die Küche.,There's a back exit through the kitchen.
6499,6474,3,der Suchtrupp,the search party,M,Wir wollten gerade einen Suchtrupp losschicken.,We were just about to call a search party.
6500,6475,3,das Unterfangen,the undertaking / venture,N,Das klingt nach einem großen Unterfangen.,"Well, that sounds like a large undertaking."
6501,6476,3,demütig,humble / humbly,adj,Manuelle Arbeit macht die Seele demütig.,Manual labor sure keeps the soul humble.
6502,6477,3,der Juwelier,the jeweler,M,"Der Juwelier hat gesagt, dass er aus demselben Stein geschnitten wurde.",The jeweler said it was cut from the same stone.
6503,6478,3,der Weber,the weaver,M,"Holt den besten Weber, den es hier gibt.",Get the best weaver there is.
6504,6479,3,unzertrennlich,inseparable / inseparably,adj,"Ich dachte, ihr vier wärt unzertrennlich.",I thought the four of you were inseparable.
6505,6480,3,das Portrait,the portrait,N,Wir wollen ein ausführliches und wohlwollendes Portrait machen.,We want to do a real in-depth and sympathetic portrait.
6506,6481,3,schmerzlich,painful / painfully,adj,"Hören Sie, die Sache ist sehr schmerzlich für mich.","Now, look, this is a very painful thing for me."
6507,6482,3,die Abzweigung,the junction / branch,F,Ich bin an der ersten Abzweigung.,I'm at the first junction.
6508,6483,3,der Überfluss,the abundance,M,Und sie soll sie im Überfluss erhalten.,And she shall receive it in abundance.
6509,6484,3,Blackout,blackout,M/N,"M/N Ein weltweiter Blackout, so wie vorausgesagt.","A worldwide blackout, just as they'd said."
6510,6485,3,hoffnungsvoll,hopeful / hopefully,adj,Morgen werde ich aufwachen und mich hoffnungsvoll fühlen.,"Tomorrow, I'll wake up feeling hopeful."
6511,6486,3,zugehen,to shut (coll) / reach (out),vb,"Indem wir auf jemanden zugehen, könnten wir ihn weiter wegstoßen.","By attempting to reach out, we may push someone further away."
6512,6487,3,rechtlich,legally / legal,adv,Ein Mietvertrag ist ein rechtlich bindendes Dokument zwischen Vermieter,A tenancy agreement is a legally binding document between a landlord and
6513,6488,3,das Beben,the quake / quiver,N,Das Beben selbst hat vielleicht 100.000 Menschen das Leben gekostet.,"The quake itself killed perhaps 100,000 people."
6514,6489,3,die Überlegung,the consideration,F,Für einen Profi ist das eine wichtige Überlegung.,"Speaking as a professional, that's an important consideration."
6515,6490,3,die Saat,the seed,F,Dann ist die Idee der bösen Saat.,"Then, there is the idea of an evil seed."
6516,6491,3,erfolglos,unsuccessful / without success,adj,Die Abgeordneten stimmten fünfundneunzig Mal erfolglos ab.,The delegates voted ninety-five times without success.
6517,6492,3,das Arsenal,the arsenal,N,Das ist ein ziemliches Arsenal für so eine friedliche Gemeinde.,"Well, quite an arsenal for a peaceful community."
6518,6493,3,das Showgeschäft,the showbiz (coll),N,Reden wir einfach über das Showgeschäft.,"Let's just talk showbiz, shall we?"
6519,6494,3,smart,smart (coll),adj,"Jane ist anspruchsvoll, smart und rücksichtslos.","Jane is spoiled, smart, and ruthless."
6520,6495,3,die Versöhnung,the reconciliation,F,Vielleicht erlebt er eine Versöhnung nicht mehr.,Maybe he won't be around for a reconciliation.
6521,6496,3,hegen,to cherish / nurture,vb,"Ein rares Talent, das Sie hegen und nutzen sollten.",A rare talent you should cherish and use.
6522,6497,3,binnen,within,prp,"Wenn Sie nicht binnen fünf Tagen die Miete zahlen, wird eine","If you don't pay the rent in five days, you'll be evicted."
6523,6498,3,das Label,the label,N,Setzt den Namen dieser Kontaktgruppe aufs Label.,Set the label of this contact group to the label.
6524,6499,3,auswärts,outward / out,adv,Ich möchte heute nicht auswärts essen.,I don't want to go and eat today.
6525,6500,3,der Einblick,the insight,M,Gleichzeitig erhalten Sie vor Ort einen Einblick in die aktuellen,You will also gain an insight into the productions currently running.
6526,6501,3,der Kolben,the piston,M,Der Kolben ist an alle Hohlzylinder angekuppelt.,The piston is coupled to all the hollow cylinders.
6527,6502,3,die Bewachung,the guard,F,Von jetzt an stehen Sie unter noch strengerer Bewachung.,"From now on, you will be under closer guard."
6528,6503,3,unvorsichtig,careless / carelessly,adj,"Es war unvorsichtig von ihr, alleine hinauszugehen.",It was careless of her to go out alone.
6529,6504,3,vertun,to waste,vb,Wir können nicht noch mehr Zeit vertun.,We can't waste any more time.
6530,6505,3,schlaff,limp / limply,adj,Diese Pflanzen sind alle leblos und schlaff.,These plants are all lifeless and limp.
6531,6506,3,der Badeanzug,the swimsuit,M,Zum Glück habe ich einen Badeanzug unter meiner Kleidung.,"Luckily, I have a swimsuit under my clothes."
6532,6507,3,der Mitmensch,the fellow man,M,Der Mitmensch dort will mich aufknüpfen.,My fellow man is about to hang me.
6533,6508,3,schmal,narrow / narrowly,adj,Die Schlucht südlich der Stadt ist außerordentlich schmal.,The ravine south of town here is very narrow.
6534,6509,3,das Copyright,the copyright,N,Alle andern Headerbilder sind unter Copyright der European Space Agency.,All other header pictures are under the copyright of the European Space
6535,6510,3,anzapfen,to tap,vb,Ich werde jedes Telefon anzapfen und jeden Computer hacken.,I will tap every phone. I will hack every computer.
6536,6511,3,das Chrom,the chrome,N,"Und das Chrom soll matt, nicht glänzend sein.","And for the chrome, it's matte, not shiny."
6537,6512,3,fegen,to sweep,vb,Du kannst damit die Veranda fegen.,You could sweep the porch with it.
6538,6513,3,beständig,steady / consistently,adj,Sein Griff ist fest und beständig.,His grip is firm and steady.
6539,6514,3,künftig,future / in future,adj,In dieser Richtung müssen wir künftig arbeiten.,This is the direction we must concentrate on in the future.
6540,6515,3,verzehren,to consume,vb,"Organismen, Bakterien warten nur darauf, unsere Körper zu verzehren.",Organisms and bacteria are just waiting to consume our bodies.
6541,6516,3,die Müdigkeit,the fatigue,F,Kein Make-up könne ihre Müdigkeit überdecken.,No amount of makeup could hide her fatigue.
6542,6517,3,die Sternschnuppe,the shooting star,F,Letzte Nacht sah ich eine Sternschnuppe.,Last night I saw a shooting star.
6543,6518,3,die Durchsuchung,the search,F,Ein Richter würde die Durchsuchung hinterfragen.,A judge would have thrown out the search.
6544,6519,3,die Sporthalle,the sports hall,F,John ist wahrscheinlich in der Sporthalle.,John is probably at the gym.
6545,6520,3,erwählen,to choose (fml),vb,Wen von uns erwählen Sie zu ihrem Mann?,Which of us do you choose as your husband?
6546,6521,3,das Luxemburg,the Luxembourg,N,Dieser Absatz gilt auch für Luxemburg.,This paragraph shall also be applicable to Luxembourg.
6547,6522,3,der Rat,the advice / council,M,"Ein guter Rat kann nicht befolgt werden, wenn er nicht verstanden wird.",Good advice can't be followed if it isn't understood.
6548,6523,3,die Regenzeit,the rainy season,F,"Da die Regenzeit noch nicht vorbei ist, müssen diese Menschen dort","As the rainy season is not yet over, the people will have to stay there for"
6549,6524,3,die Parole,the password / slogan,F,"Sorry, das ist nicht die Parole.","Sorry, that's not the password."
6550,6525,3,die Witzfigur,the laughingstock,F,Und dann ist man die Witzfigur der ganzen Schule.,And then you're the laughingstock of the entire school.
6551,6526,3,abschicken,to send,vb,Sie können Ihre Anfrage jetzt abschicken.,You can send your inquiry now.
6552,6527,3,der Autopilot,the autopilot,M,"John, bitte schalte den Autopiloten ein.","John, please hit the automatic pilot."
6553,6528,3,bewerten,to assess,vb,Der gute Teamgeist in der Arbeitsgruppe ist sehr positiv zu bewerten.,The good team spirit in the workgroup is assessed positively.
6554,6529,3,masturbieren,to masturbate,vb,"Viele Menschen masturbieren, habe ich gehört.","A lot of people masturbate, I hear."
6555,6530,3,die Militärpolizei,the military police,F,Die Militärpolizei hat einen Rebellen verhaftet.,A rebel was arrested by the military police.
6556,6531,3,zuallererst,first of all,adv,"Nun, zuallererst entschuldigen Sie meine Wissenslücke zu Ihrer Kultur.","Well, first of all, pardon my cultural ignorance."
6557,6532,3,unterziehen,to fold in / submit to,vb,"Ich habe Ihren Mann gebeten, sich Tests zu unterziehen.",I've asked your husband to submit to some tests.
